Alcoa Corporation,AA
Walmart Inc.,WMT
Costco Wholesale Corporation,COST
The Coca-Cola Company,KO
Colgate-Palmolive Company,CL
Target Corporation,TGT
Kimberly-Clark Corporation,KMB
The Kroger Co.,KR
The Estée Lauder Companies Inc.,EL
Berkshire Hathaway Inc.,BRK-B
JPMorgan Chase & Co.,JPM
Visa Inc.,V
Mastercard Incorporated,MA
Wells Fargo & Company,WFC
"The Goldman Sachs Group, Inc.",GS
Morgan Stanley,MS
American Express Company,AXP
Citigroup Inc.,C
"PayPal Holdings, Inc.",PYPL
"Coinbase Global, Inc.",COIN
"American International Group, Inc.",AIG
Upstart Holdings,UPST
"NextEra Energy, Inc.",NEE
Exxon Mobil Corporation,XOM
Chevron Corporation,CVX
Halliburton Company,HAL
Marathon Oil Corporation,MRO
"Helmerich & Payne, Inc.",HP
Apple Inc.,AAPL
Microsoft Corporation,MSFT
NVIDIA Corporation,NVDA
Broadcom Inc.,AVGO
"Advanced Micro Devices, Inc.",AMD
"Salesforce, Inc.",CRM
Adobe Inc.,ADBE
QUALCOMM Incorporated,QCOM
"Cisco Systems, Inc.",CSCO
Texas Instruments Incorporated,TXN
Intel Corporation,INTC
"Micron Technology, Inc.",MU
Shopify Inc.,SHOP
"CrowdStrike Holdings, Inc.",CRWD
"Block, Inc.",SQ
"Cloudflare, Inc.",NET
"Zoom Video Communications, Inc.",ZM
"Enphase Energy, Inc.",ENPH
Affirm Holdings,AFRM
Dropbox,DBX
Sunrun,RUN
"Amazon.com, Inc.",AMZN
"Tesla, Inc.",TSLA
"The Home Depot, Inc.",HD
McDonald's Corporation,MCD
Booking Holdings Inc.,BKNG
"Lowe's Companies, Inc.",LOW
"NIKE, Inc.",NKE
"Airbnb, Inc.",ABNB
Starbucks Corporation,SBUX
"Chipotle Mexican Grill, Inc.",CMG
"Marriott International, Inc.",MAR
Ford Motor Company,F
General Motors Company,GM
Lululemon Athletica Inc.,LULU
eBay Inc.,EBAY
Carnival Corporation & plc,CCL
"Expedia Group, Inc.",EXPE
Alibaba Group Holding Ltd,BABA
"NIO, Inc",NIO
PDD Holdings,PDD
Peloton Interactive,PTON
QuantumScape ,QS
Wayfair,W
"Etsy, Inc.",ETSY
Johnson & Johnson,JNJ
Amgen Inc.,AMGN
Pfizer Inc.,PFE
"Moderna, Inc.",MRNA
Alphabet Inc.,GOOG
"Meta Platforms, Inc.",META
"Netflix, Inc.",NFLX
"T-Mobile US, Inc.",TMUS
The Walt Disney Company,DIS
Verizon Communications Inc.,VZ
AT&T Inc.,T
"Pinterest, Inc.",PINS
"Zillow Group, Inc.",ZG
"Roku, Inc.",ROKU
"AMC Entertainment Holdings, Inc.",AMC
Fiverr International Ltd.,FVRR
Baidu,BIDU
fuboTV,FUBO
Snap Inc,SNAP
GE Aerospace,GE
Caterpillar Inc.,CAT
The Boeing Company,BA
FedEx Corporation,FDX
3M Company,MMM
"United Airlines Holdings, Inc.",UAL
American Airlines Group,AAL
Plug Power,PLUG
