Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Microsoft,MSFT,8.34%,86.77%,19.64%,131.03%,4.63%,11.98%
Apple,AAPL,-1.40%,53.57%,5.00%,113.56%,1.32%,9.74%
NVIDIA,NVDA,101.48%,332.50%,853.85%,463.64%,12.84%,20.30%
Alphabet,GOOG,7.06%,128.45%,19.47%,486.96%,26.85%,13.26%
Alphabet,GOOGL,7.06%,128.45%,19.47%,486.96%,26.85%,13.29%
Amazon,AMZN,10.85%,154.10%,,160.00%,36.14%,22.88%
Meta Platforms,META,11.02%,141.85%,21.14%,71.26%,9.03%,14.66%
Berkshire Hathaway,BRK.A,21.39%,48.72%,,239.71%,0.00%,
Berkshire Hathaway,BRK.B,21.39%,48.72%,,239.71%,52.20%,6.26%
Taiwan Semiconductor Manufacturing,TSM,-13.69%,100.04%,-26.45%,142.55%,6.98%,24.47%
Eli Lilly,LLY,28.11%,48.83%,85.71%,,1.98%,40.12%
Broadcom,AVGO,7.77%,74.17%,37.44%,-2.16%,-4.47%,32.03%
Novo Nordisk,NVO,34.44%,80.80%,50.00%,85.29%,7.79%,26.61%
JPMorgan Chase,JPM,78.69%,86.31%,72.10%,107.42%,10.77%,-0.18%
Tesla,TSLA,47.20%,522.83%,20.00%,,0.00%,30.16%
Walmart,WMT,7.58%,24.13%,-16.00%,-12.50%,15.38%,8.26%
Visa,V,11.66%,55.02%,24.48%,97.78%,3.29%,11.47%
Exxon,XOM,-28.33%,12.81%,-53.92%,110.87%,-5.94%,7.52%
UnitedHealth Group,UNH,15.65%,65.64%,8.99%,95.30%,4.22%,12.11%
Mastercard,MA,14.04%,71.05%,28.21%,100.00%,2.80%,15.39%
Procter & Gamble,PG,5.32%,24.54%,13.22%,87.67%,7.04%,6.41%
ASML Holding,ASML,29.54%,129.36%,41.91%,228.22%,19.01%,52.34%
Costco,COST,2.00%,65.78%,-3.62%,72.35%,3.06%,9.51%
Johnson & Johnson,JNJ,6.29%,22.56%,8.89%,35.17%,2.65%,2.63%
Home Depot,HD,-4.24%,49.34%,-6.60%,83.65%,0.55%,6.14%
Oracle,ORCL,16.87%,25.62%,2.56%,48.15%,2.75%,12.16%
Merck,MRK,3.03%,43.67%,-251.61%,-473.02%,6.70%,14.81%
Bank Of America,BAC,72.06%,60.18%,20.55%,39.68%,7.79%,8.98%
Chevron,CVX,-28.89%,15.77%,-46.22%,79.78%,3.17%,14.37%
Toyota,TM,5.79%,7.14%,-6.69%,5.50%,71.48%,6.95%
AbbVie,ABBV,-4.92%,67.49%,123.53%,-9.52%,2.21%,7.28%
Netflix,NFLX,2.72%,109.54%,2.81%,287.06%,17.07%,20.81%
CocaCola,KO,5.71%,27.08%,34.09%,9.26%,4.35%,7.09%
AMD,AMD,-18.18%,205.18%,-92.59%,-81.82%,4.88%,67.18%
AstraZeneca,AZN,5.99%,121.45%,383.33%,314.29%,8.42%,15.59%
PepsiCo,PEP,10.37%,38.73%,93.20%,55.47%,5.92%,8.08%
Shell,SHEL,-26.25%,-23.42%,-80.83%,-36.11%,27.27%,2.51%
QUALCOMM,QCOM,-22.72%,51.53%,-51.37%,97.53%,6.04%,12.39%
Salesforce,CRM,11.44%,162.21%,1728.57%,228.21%,4.40%,15.28%
Thermo Fisher Scientific,TMO,-2.58%,75.83%,-16.82%,89.73%,8.72%,10.72%
Novartis AG,NVS,6.50%,19.59%,44.16%,-66.47%,4.05%,12.38%
